Index Name,Category,NSE
NIFTY 100,EQUITY,NIFTY 100
NIFTY 200,EQUITY,NIFTY 200
NIFTY 50,EQUITY,NIFTY 50
NIFTY 50 ARBITRAGE,EQUITY,NIFTY 50 ARBITRAGE
NIFTY 50 FUTURES PR,EQUITY,NIFTY 50 FUTURES PR
NIFTY 50 FUTURES TR,EQUITY,NIFTY 50 FUTURES TR
NIFTY 500,EQUITY,NIFTY 500
NIFTY ALPHA 50,EQUITY,NIFTY ALPHA 50
NIFTY ALPHA LOW-VOLATILITY 30,EQUITY,NIFTY ALPHA LOW-VOLATILITY 30
NIFTY ALPHA QUALITY LOW-VOLATILITY 30,EQUITY,NIFTY ALPHA QUALITY LOW-VOLATILITY 30
NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30,EQUITY,NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30
NIFTY AUTO,EQUITY,NIFTY AUTO
NIFTY BANK,EQUITY,NIFTY BANK
NIFTY COMMODITIES,EQUITY,NIFTY COMMODITIES
NIFTY CONSUMER DURABLES,EQUITY,NIFTY CONSUMER DURABLES
NIFTY CORE HOUSING,EQUITY,NIFTY CORE HOUSING
NIFTY CPSE,EQUITY,NIFTY CPSE
NIFTY DIVIDEND OPPORTUNITIES 50,EQUITY,NIFTY DIVIDEND OPPORTUNITIES 50
NIFTY ENERGY,EQUITY,NIFTY ENERGY
NIFTY EV &amp; NEW AGE AUTOMOTIVE,EQUITY,NIFTY EV &amp; NEW AGE AUTOMOTIVE
NIFTY FINANCIAL SERVICES,EQUITY,NIFTY FINANCIAL SERVICES
NIFTY FINANCIAL SERVICES 25/50,EQUITY,NIFTY FINANCIAL SERVICES 25/50
NIFTY FINANCIAL SERVICES EX-BANK,EQUITY,NIFTY FINANCIAL SERVICES EX-BANK
NIFTY FMCG,EQUITY,NIFTY FMCG
NIFTY GROWTH SECTORS 15,EQUITY,NIFTY GROWTH SECTORS 15
NIFTY HEALTHCARE,EQUITY,NIFTY HEALTHCARE
NIFTY HIGH BETA 50,EQUITY,NIFTY HIGH BETA 50
NIFTY HOUSING,EQUITY,NIFTY HOUSING
NIFTY INDIA CONSUMPTION,EQUITY,NIFTY INDIA CONSUMPTION
NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP,EQUITY,NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP
NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP,EQUITY,NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP
NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP,EQUITY,NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP
NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP,EQUITY,NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP
NIFTY INDIA DEFENCE,EQUITY,NIFTY INDIA DEFENCE
NIFTY INDIA DIGITAL,EQUITY,NIFTY INDIA DIGITAL
NIFTY INDIA MANUFACTURING,EQUITY,NIFTY INDIA MANUFACTURING
NIFTY INFRASTRUCTURE,EQUITY,NIFTY INFRASTRUCTURE
NIFTY IT,EQUITY,NIFTY IT
NIFTY LARGEMIDCAP 250,EQUITY,NIFTY LARGEMIDCAP 250
NIFTY LOW VOLATILITY 50,EQUITY,NIFTY LOW VOLATILITY 50
NIFTY MEDIA,EQUITY,NIFTY MEDIA
NIFTY METAL,EQUITY,NIFTY METAL
NIFTY MICROCAP 250,EQUITY,NIFTY MICROCAP 250
NIFTY MIDCAP 100,EQUITY,NIFTY MIDCAP 100
NIFTY MIDCAP 150,EQUITY,NIFTY MIDCAP 150
NIFTY MIDCAP 50,EQUITY,NIFTY MIDCAP 50
NIFTY MIDCAP LIQUID 15,EQUITY,NIFTY MIDCAP LIQUID 15
NIFTY MIDCAP SELECT,EQUITY,NIFTY MIDCAP SELECT
NIFTY MIDCAP150 MOMENTUM 50,EQUITY,NIFTY MIDCAP150 MOMENTUM 50
NIFTY MIDCAP150 QUALITY 50,EQUITY,NIFTY MIDCAP150 QUALITY 50
NIFTY MIDSMALL FINANCIAL SERVICES,EQUITY,NIFTY MIDSMALL FINANCIAL SERVICES
NIFTY MIDSMALL HEALTHCARE,EQUITY,NIFTY MIDSMALL HEALTHCARE
NIFTY MIDSMALL INDIA CONSUMPTION,EQUITY,NIFTY MIDSMALL INDIA CONSUMPTION
NIFTY MIDSMALL IT &amp; TELECOM,EQUITY,NIFTY MIDSMALL IT &amp; TELECOM
NIFTY MIDSMALLCAP 400,EQUITY,NIFTY MIDSMALLCAP 400
NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100,EQUITY,NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100
NIFTY MNC,EQUITY,NIFTY MNC
NIFTY MOBILITY,EQUITY,NIFTY MOBILITY
NIFTY NEXT 50,EQUITY,NIFTY NEXT 50
NIFTY NON-CYCLICAL CONSUMER,EQUITY,NIFTY NON-CYCLICAL CONSUMER
NIFTY OIL &amp; GAS,EQUITY,NIFTY OIL &amp; GAS
NIFTY PHARMA,EQUITY,NIFTY PHARMA
NIFTY PRIVATE BANK,EQUITY,NIFTY PRIVATE BANK
NIFTY PSE,EQUITY,NIFTY PSE
NIFTY PSU BANK,EQUITY,NIFTY PSU BANK
